,RandomSample
F1,18.86885094642639
F2,17.219354152679443
F3,20.45384168624878
F4,18.102936029434204
F5,15.580621719360352
F6,25.729957580566406
F7,39.287126779556274
F8,25.571103811264038
F9,35.34300112724304
F20,47.63105583190918
F21,62.06483697891235
F22,73.37526297569275
F23,59.449774980545044
F24,69.4037299156189
F25,97.61990427970886
F26,101.3970775604248
F27,90.30655312538147
